ID,SHORT_NAME,NAME,COMPANY_TYPE,ADDRESS,FK_SEMESTER_ID,FK_ADVISER_ID,EMAIL,,
54,Flare Soft S.R.L.,Flare Soft S.R.L.,SRL,Jordan y Oquendo,3,1,flaresoftsrl@trashmail.top,,
55,Fox-Soft,Fox-Soft SRL,SRL,Jordan y Oquendo,4,1,fox-soft@trashmail.top,,
56,FRAMTIS,FRAMTIS SRL,SRL,Jordan y Oquendo,2,1,framtis@trashmail.top,,
57,FREEVALU,FreeValue SRL,SRL,Jordan y Oquendo,2,1,freevalu@trashmail.top,,
58,GEDSOFT SA,"Grupo de Desarrollo de Software
Sociedad Anónima",SRL,Jordan y Oquendo,3,1,gedsoftsa@trashmail.top,,
59,Genesis Code,Genesis Code,SRL,Jordan y Oquendo,4,1,genesiscode@trashmail.top,,
60,Genesis Soft,Genesis Soft,SRL,Jordan y Oquendo,2,1,genesissoft@trashmail.top,,
61,Global Systems S.R.L.,Global Systems S.R.L.,SRL,Jordan y Oquendo,2,1,globalsystemssrl@trashmail.top,,
62,Huayra Soft,Huayra,SRL,Jordan y Oquendo,3,1,huayra@trashmail.top,,
63,IART,"Informatica Adelantos
Responsables en Tecnologia",SRL,Jordan y Oquendo,4,1,iart@trashmail.top,,
64,Icarus SRL,Icarus Soft SRL,SRL,Jordan y Oquendo,2,1,icarussrl@trashmail.top,,
65,ICOS,"Ingenieria de Computación y
Software",SRL,Jordan y Oquendo,2,1,icos@trashmail.top,,
66,ILLUSION,ILLUSION SRL,SRL,Jordan y Oquendo,3,1,illusion@trashmail.top,,
67,INNER Soft,INNER Soft,SRL,Jordan y Oquendo,4,1,innersoft@trashmail.top,,
68,INNOVATE SRL,"INNOVATE SOFTWARE SOLUTION
SRL",SRL,Jordan y Oquendo,2,1,innovatesrl@trashmail.top,,
69,Innovatek,Innovatek SRL,SRL,Jordan y Oquendo,2,1,innovatek@trashmail.top,,
70,iSoft SRL,iSOFT SRL,SRL,Jordan y Oquendo,3,1,isoftsrl@trashmail.top,,
71,ITEC,ITEC Innovación Tecnológica,SRL,Jordan y Oquendo,4,1,itec@trashmail.top,,
72,Jaguar Soft. SRL,Jaguar Soft. SRL,SRL,Jordan y Oquendo,2,1,jaguarsoftsrl@trashmail.top,,
73,JAM,JAM Soft S.R.L.,SRL,Jordan y Oquendo,2,1,jam@trashmail.top,,
74,JCSOFT,JCSOFT SRL,SRL,Jordan y Oquendo,3,1,jcsoft@trashmail.top,,
75,JetSoft,JetSoft SRL,SRL,Jordan y Oquendo,4,1,jetsoft@trashmail.top,,
76,KERNELOGICS,KERNELOGICS SOFTWARE SRL,SRL,Jordan y Oquendo,2,1,kernelogics@trashmail.top,,
77,Knowledge Overload,Knowledge Overload,SRL,Jordan y Oquendo,2,1,knowledgeoverload@trashmail.top,,
78,Koliita developers SRL,Kollita SRL,SRL,Jordan y Oquendo,3,1,kollitasrl@trashmail.top,,
79,LETIS SRL,"Lideres emprendedores en trabajos
de ingenieria de software",SRL,Jordan y Oquendo,4,1,letissrl@trashmail.top,,
80,LevitaSoft S.R.L.,"Levita Software Development
Technology Company S.R.L.",SRL,Jordan y Oquendo,2,1,levitasoftsrl@trashmail.top,,
81,Linfocitos SRL.,Linfocitos SRL,SRL,Jordan y Oquendo,2,1,linfocitossrl@trashmail.top,,
82,Lirium SRL,"Lirium Software Engineering
Services SRL",SRL,Jordan y Oquendo,3,1,liriumsrl@trashmail.top,,
83,LiveCorp SRL,LiveCorp SRL,SRL,Jordan y Oquendo,4,1,livecorpsrl@trashmail.top,,
84,Llajta Soft,Llajta Soft,SRL,Jordan y Oquendo,2,1,llajtasoft@trashmail.top,,
85,MachineSoft SRL,MachineSoft SRL,SRL,Jordan y Oquendo,2,1,machinesoftsrl@trashmail.top,,
86,MAD SRL,MAD SOFT,SRL,Jordan y Oquendo,3,1,madsrl@trashmail.top,,
87,MAGIC,"Manejo Global de Información
Computarizada",SRL,Jordan y Oquendo,4,1,magic@trashmail.top,,
88,Magio,MagioSoft SRL,SRL,Jordan y Oquendo,2,1,magio@trashmail.top,,
89,MagoSoft,MagoSoft SRL,SRL,Jordan y Oquendo,2,1,magosoft@trashmail.top,,
90,MAISOFT,MAISOFT S.R.L.,SRL,Jordan y Oquendo,3,1,maisoft@trashmail.top,,
91,Manzanares,Manzanares SRL,SRL,Jordan y Oquendo,4,1,manzanares@trashmail.top,,
92,MBKM Soft,MBKM Soft,SRL,Jordan y Oquendo,2,1,mbkmsoft@trashmail.top,,
93,MindCoding SRL,MindCoding SRL,SRL,Jordan y Oquendo,2,1,mindcodingsrl@trashmail.top,,
94,MingSoft SRL,MingSoft SRL,SRL,Jordan y Oquendo,3,1,mingsoftsrl@trashmail.top,,
95,Miski Devs,Miski Devs,SRL,Jordan y Oquendo,4,1,miskidevs@trashmail.top,,
96,Molecular Soft,Molecular Soft,SRL,Jordan y Oquendo,2,1,molecularsoft@trashmail.top,,
97,Monkey developers SRL,Monkey,SRL,Jordan y Oquendo,2,1,monkey@trashmail.top,,
98,Moonsoft,Moonsoft,SRL,Jordan y Oquendo,3,1,moonsoft@trashmail.top,,
99,NaviSoft,NaviSoft SRL,SRL,Jordan y Oquendo,4,1,navisoft@trashmail.top,,
100,NeoSoft SRL,NeoSoft SRL,SRL,Jordan y Oquendo,2,1,neosoftsrl@trashmail.top,,
101,NETSKY,NETSKY SRL,SRL,Jordan y Oquendo,2,1,netsky@trashmail.top,,
102,NetSoft,NetSoft SRL,SRL,Jordan y Oquendo,3,1,netsoft@trashmail.top,,
103,NFS,NFS SRL,SRL,Jordan y Oquendo,4,1,nfs@trashmail.top,,
104,Notepad,Notepad Coders S.R.L.,SRL,Jordan y Oquendo,2,1,notepad@trashmail.top,,
105,OMEGA SD,OMEGA Software Development,SRL,Jordan y Oquendo,2,1,omegasd@trashmail.top,,
106,ON SOFT,Camaleon Software SRL,SRL,Jordan y Oquendo,3,1,onsoft@trashmail.top,,
107,Orange Soft SRL,Orange Soft SRL,SRL,Jordan y Oquendo,4,1,orangesoftsrl@trashmail.top,,
108,Oreosoft,OREOSOFT S.R.L.,SRL,Jordan y Oquendo,2,1,oreosoft@trashmail.top,,
109,ORION SOFT,ORION SOFTWARE SOLUTIONS,SRL,Jordan y Oquendo,2,1,orionsoft@trashmail.top,,
110,Pentasoft,Pentasoft SRL,SRL,Jordan y Oquendo,3,1,pentasoft@trashmail.top,,
111,PF,Programando el Futuro,SRL,Jordan y Oquendo,4,1,pf@trashmail.top,,
112,Phoenix SRL.,Phoenix SRL.,SRL,Jordan y Oquendo,2,1,phoenixsrl@trashmail.top,,
113,Quality,Quality,SRL,Jordan y Oquendo,2,1,quality@trashmail.top,,
114,QuickSoftware S.R.L.,QuickSoftware S.R.L.,SRL,Jordan y Oquendo,3,1,quicksoftwaresrl@trashmail.top,,
115,QUIRKYSOFT SRL,QUIRKYSOFT SRL,SRL,Jordan y Oquendo,4,1,quirkysoftsrl@trashmail.top,,
116,Reactive Solutions.SRL,Reactive Solutions.SRL,SRL,Jordan y Oquendo,2,1,reactivesolutionssrl@trashmail.top,,
117,RVGC Soft,Roman Vargas Gonzales Chipana Soft,SRL,Jordan y Oquendo,2,1,rvgcsoft@trashmail.top,,
118,SAADS SRL,SAADS SRL,SRL,Jordan y Oquendo,3,1,saadssrl@trashmail.top,,
119,ScrumTroopers S.C.,ScrumTroopers Sociedad Colectiva,SRL,Jordan y Oquendo,4,1,scrumtrooperssc@trashmail.top,,
120,SER SRL,Software Engineering Revolution SRL,SRL,Jordan y Oquendo,2,1,sersrl@trashmail.top,,
121,Sewbs SRL,Sewbs SRL,SRL,Jordan y Oquendo,2,1,sewbssrl@trashmail.top,,
122,SHYAB,SHYAB,SRL,Jordan y Oquendo,3,1,shyab@trashmail.top,,
123,SICESOFT SRL.,SOLUTIONS ICE SOFTWARE SRL,SRL,Jordan y Oquendo,4,1,sicesoftsrl@trashmail.top,,
124,SINGECORP,"Sistemas Informaticos de Gestion
Corporativa",SRL,Jordan y Oquendo,2,1,singecorp@trashmail.top,,
125,SISU,Sistemas de SOftware Unidos,SRL,Jordan y Oquendo,2,1,sisu@trashmail.top,,
126,SITEC,"SIstemas de Informacion
Tecnologica",SRL,Jordan y Oquendo,3,1,sitec@trashmail.top,,
127,Sky Brians,Sky Brians SRL,SRL,Jordan y Oquendo,4,1,skybrians@trashmail.top,,
128,SKYSOFT,SKYSOFT SRL,SRL,Jordan y Oquendo,2,1,skysoft@trashmail.top,,
129,SLOW CODE,SLOW CODE SRL,SRL,Jordan y Oquendo,2,1,slowcode@trashmail.top,,
130,Smart Solution,Smart Solution S.R.L.,SRL,Jordan y Oquendo,3,1,smartsolution@trashmail.top,,
131,SOFT MAGIC TOUCH,SOFTWARE MAGIC TOUCH,SRL,Jordan y Oquendo,4,1,softmagictouch@trashmail.top,,
132,Softcreme,Softcreme SRL,SRL,Jordan y Oquendo,2,1,softcreme@trashmail.top,,
133,Softelligent,SOFTWARE INTELIGENTE,SRL,Jordan y Oquendo,2,1,softelligent@trashmail.top,,
134,SOFTIS,Software TIS,SRL,Jordan y Oquendo,3,1,softis@trashmail.top,,
135,SoftLab S.R.L.,SoftLab S.R.L.,SRL,Jordan y Oquendo,4,1,softlabsrl@trashmail.top,,
136,SoftSolutions,SoftSolutions SRL,SRL,Jordan y Oquendo,2,1,softsolutions@trashmail.top,,
137,SoftVision,The Software Vision Company,SRL,Jordan y Oquendo,2,1,softvision@trashmail.top,,
138,"Software Development Innovation
SRL",SDI SRL,SRL,Jordan y Oquendo,3,1,sdisrl@trashmail.top,,
139,Solidev,Solidev S.R.L.,SRL,Jordan y Oquendo,4,1,solidev@trashmail.top,,
140,SOTEA SRL,SOTEA SRL,SRL,Jordan y Oquendo,2,1,soteasrl@trashmail.top,,
141,StardustSoft,StardustSoft SRL,SRL,Jordan y Oquendo,2,1,stardustsoft@trashmail.top,,
142,STARTSOFT,"Empresa de Desarrollo Informatico
STARTSOFT",SRL,Jordan y Oquendo,3,1,startsoft@trashmail.top,,
143,Storm,StormSoft SRL,SRL,Jordan y Oquendo,4,1,storm@trashmail.top,,
144,StudSoft,StudSoft SRL,SRL,Jordan y Oquendo,2,1,studsoft@trashmail.top,,
145,Sublime SRL,Sublime Projects SRL,SRL,Jordan y Oquendo,2,1,sublimesrl@trashmail.top,,
146,Summit,Summit SRL,SRL,Jordan y Oquendo,3,1,summit@trashmail.top,,
147,Symphony Soft,Symphony Software,SRL,Jordan y Oquendo,4,1,symphonysoft@trashmail.top,,
148,Synchro SRL,Synchro SRL,SRL,Jordan y Oquendo,2,1,synchrosrl@trashmail.top,,
149,SystemBolDevSoft Srl,SystemBolDevSoft Srl,SRL,Jordan y Oquendo,2,1,systemboldevsoftsrl@trashmail.top,,
150,TALOS Dev,Talos Development S.R.L.,SRL,Jordan y Oquendo,3,1,talosdev@trashmail.top,,
151,Team Soft,Team Soft S.R.L.,SRL,Jordan y Oquendo,4,1,teamsoft@trashmail.top,,
152,TecnoAvance,TecnoAvance,SRL,Jordan y Oquendo,2,1,tecnoavance@trashmail.top,,
153,TH,Transhumant,SRL,Jordan y Oquendo,2,1,th@trashmail.top,,
154,The Code Tellers,The Code Tellers SRL,SRL,Jordan y Oquendo,3,1,thecodetellers@trashmail.top,,
155,ThinkDSoft SRL,ThinkDSoft SRL,SRL,Jordan y Oquendo,4,1,thinkdsoftsrl@trashmail.top,,
156,THNS SRL,Technohookup Newsystems SRL,SRL,Jordan y Oquendo,2,1,thnssrl@trashmail.top,,
157,ThunderSoft,Thunder Software S.R.L.,SRL,Jordan y Oquendo,2,1,thundersoft@trashmail.top,,
158,TopCoDev.SRL,TopCoDev.SRL,SRL,Jordan y Oquendo,3,1,topcodevsrl@trashmail.top,,
159,TopSoft,Top Software SRL,SRL,Jordan y Oquendo,4,1,topsoft@trashmail.top,,
160,Trojan Soft,Trojan Soft,SRL,Jordan y Oquendo,2,1,trojansoft@trashmail.top,,
161,TS SRL,Team Soft SRL,SRL,Jordan y Oquendo,2,1,tssrl@trashmail.top,,
162,Unlocking Software,Unlocking SRL,SRL,Jordan y Oquendo,3,1,unlockingsrl@trashmail.top,,
163,Valle Soft,Valle Soft  S.R.L.,SRL,Jordan y Oquendo,4,1,vallesoft@trashmail.top,,
164,VenSoft SRL,VenSoft SRL,SRL,Jordan y Oquendo,2,1,vensoftsrl@trashmail.top,,
165,VIDA SRL,VIDA SRL,SRL,Jordan y Oquendo,2,1,vidasrl@trashmail.top,,
166,WebJets,WebJets Soluciones informaticas,SRL,Jordan y Oquendo,3,1,webjets@trashmail.top,,
167,WEBSOLUTIONS,WEBSOLUTIONS SRL,SRL,Jordan y Oquendo,4,1,websolutions@trashmail.top,,
168,WHS SRL,Work at Home Soft SRL,SRL,Jordan y Oquendo,2,1,whssrl@trashmail.top,,
169,WieselSoft SRL,WieselSoft SRL,SRL,Jordan y Oquendo,2,1,wieselsoftsrl@trashmail.top,,
170,Winesoft,Winesoft,SRL,Jordan y Oquendo,3,1,winesoft@trashmail.top,,
171,WinnSoft,WinnSoft SRL,SRL,Jordan y Oquendo,4,1,winnsoft@trashmail.top,,
172,XPARSA,EXPANDIENDO SOFTWARE,SRL,Jordan y Oquendo,2,1,xparsa@trashmail.top,,
173,Yantana Soft,Yantana Soft,SRL,Jordan y Oquendo,2,1,yantanasoft@trashmail.top,,
174,Yenci Soft,Yenci Soft S.R.L.,SRL,Jordan y Oquendo,3,1,yencisoft@trashmail.top,,
175,ZEIKO,ZEIKO SRL,SRL,Jordan y Oquendo,4,1,zeiko@trashmail.top,,
176,Zion,Zion,SRL,Jordan y Oquendo,2,1,zion@trashmail.top,,
